Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
N?? tswi?t?? (V);;;Mba?ncob?;Signifier;;;
Nkànmàk?? (1/6);;;L?n;Signe;;;
Mba?bngo? (1/6);;;L?n;Silure;;;
Ngo?nts? (1/6);;;L?n;Sire?ne;;;
Ntoge (adj);;;;Six;;;
Mbadt?? ntog? (adj);;;;Sixie?me;;;
Kum (5/4);;;L?n;Socie?te?;;;
Kumfa?? (5/4);;;L?n;Socie?te? ;;;
Mànj?? (1/6);;;L?n;Socie?te?;;;
Ng?? (3/6);;;L?n;Socie?te?;;;
Nj? (1/6);;;L?n;Socie?te?;;;
Ngo?nmà (3/6);;;L?n;S?ur;;;
Ngo?ntà (3/6);;;L?n;Soeur ;;;
Màdu (1/6);;;L?n;S?ur du mari;;;
Silige ;;;L?n;Sole;;;
Nzi? ;;;L?n;Soif;;;
K?nt? (3/6);;;L?n;Soif;;;
Nzintse (;;;L?n;Soif d?eau;;;
Nzindu??;;;L?n;Soif de vin;;;
Mf??dnj? (1/6);;;L?n;Soir;;;
Nd??mf??dnj?;;;L?n;Soire?e;;;
T??ndndà (1/6);;;L?n;Sol de la maison;;;
Nsi?ndà (1/6);;;L?n;Sol de la maison;;;
Nsi (adv);;;;Sol;;;
Ca?a (1/6);;;L?n;Sol;;;
Ma??nco? (1/6);;;L?n;Soldat;;;
Nk??tu?u (1/6);;;L?n;Soldat;;;
Soye? (1/6);;;L?n;Soldat;;;
Nya?m (1/6);;;L?n;Soleil;;;
Nya?m n?? bi (V);;;Mba?ncob?;Soleil disparai?tre;;;
N?? ta nya?m (V);;;Mba?ncob?;Soleil faire;;;
Miaglo (4);;;L?n;Sommeil;;;
N?? m?? mi?glo (V);;;Mba?ncob?;Sommeiller;;;
Nga?m???miàglo (V);;;Mba?ncob?;Sommeilleur? ;;;
Miàglo (4);;;L?n;Somnolence;;;
N?? m???miàglo (1/6);;;L?n;Somnoler;;;
N?? ca??t?? miàglo (V);;;Mba?ncob?;Somnoler;;;
Nz?? (1/6);;;L?n;Son;;;
Fin (5/4);;;L?n;Son;;;
Cu??t?? ;;;;Son;;;
N?? dia?g ntu?n (V);;;Mba?ncob?;Sonder;;;
N?? mu?mt?? (V);;;Mba?ncob?;Sonder;;;
N?? to?nu? (V);;;Mba?ncob?;Sonder;;;
N?? zw??t? (V);;;Mba?ncob?;Sonder;;;
N?? zw??t? (V)  ;;;Mba?ncob?;Sonder ;;;
N?? y?n nje?m (V);;;Mba?ncob?;Songe;;;
N?? lab ?wa (V);;;Mba?ncob?;Songer;;;
N?? bu??wa (V);;;Mba?ncob?;Sonner;;;
N?? tam?wa (V);;;Mba?ncob?;Sonner;;;
?wa (3/6);;;L?n;Sonner;;;
Nz???wa (1/6);;;L?n;Sonnerie;;;
Nsà (5/4);;;L?n;Sonnerie;;;
Nga?ka? (1/6);;;L?n;Sorcellerie;;;
Nga??nsà? (1/6);;;L?n;Socier;;;
Nu? m??n ;;;L?n;Sort;;;
T?? (5/4);;;L?n;Sort;;;
N?? tum? (1/6);;;L?n;Sortie;;;
Nz??ndà (1/6);;;L?n;Sortie;;;
Nz??netum? (1/6);;;L?n;Sortie;;;
N?? tum? (V);;;Mba?ncob?;Sortir;;;
C?n (1/6);;;L?n;Sot;;;
Nga?fe?mni (1/6);;;L?n;Sot;;;
Nkà?gni? (1/6);;;L?n;Sot;;;
L? (5/4);;;L?n;Soubassement;;;
Tu?nba?? (3/4);;;L?n;Soubassement;;;
K??tu?n (3/4);;;L?n;Souche;;;
F??nk?à (5/4);;;L?n;Souche de palme de raphia;;;
Ve?nk?à ;;;L?n;Souche de raphia mort;;;
Nzwia?g (5/4);;;L?n;Souffle;;;
Yw?l? (6);;;L?n;Souffle;;;
N?? f?àg? (V);;;L?n;Souffler;;;
Nga?f?àg (1/6);;;L?n;Souffleur;;;
Ng?? (1/6);;;L?n;Souffrance;;;
Ng??dni? (1/6);;;L?n;Souffrance;;;
Nso?bni? (1/6);;;L?n;Souffrance;;;
Ntobni? (1/6);;;L?n;Souffrance;;;
N?? f?d ns? (V);;;Mba?ncob?;Souffrir;;;
N?? y?nng?? (V);;;Mba?ncob?;Souffrir;;;
Solfà? (1/6);;;L?n;Soufre;;;
N?? sàgt? (V);;;Mba?ncob?;Souiller ;;;
N?? tam tu?m? (V);;;Mba?ncob?;Souiller ;;;
?u?u (6) ;;;L?n;souillure;;;
Mb??n (4);;;L?n;Souillure;;;
N?? b??? (V);;;Mba?ncob?;Soulever;;;
Mk?to?o (5);;;L?n;Soupir;;;
Zwià?g (5/4) ;;;L?n;Soupirer;;;
N?? zwià?g? (V);;;Mba?ncob?;Source point d?eau;;;
Là?nts? (5/4);;;L?n;Source;;;
Tu?mnsnts? (1/6);;;L?n;Source endroit;;;
Là?gbw?;;;;Source;;;
Ka?làg (5/4);;;L?n;Sourcil;;;
Mbu?nto? (1/6);;;L?n;Sourd;;;
Mbu?nto?k??cob;;;L?n;Sourd-muet;;;
N?? nyu??zwi? (V);;;Mba?ncob?;Sourire;;;
C??dku? (1/6);;;L?n;Souris;;;
Fia?mà?mba? (1/6);;;L?n;Sournois;;;
Mf?nnt?? (1/6);;;L?n;Sous-chef;;;
Zi?kum (5/4);;;L?n;Sous-ve?tement;;;
Ma??t?? (1/6);;;L?n;Souscription;;;
N?? ma??t?? (V);;;Mba?ncob?;Souscrire;;;
N?? tomt? (V);;;Mba?ncob?;Soutenir;;;
Ntom (1/6);;;L?n;Soutien;;;
N??kwimt? (1/6);;;L?n;Souvenir;;;
N?? kwimt? (V);;;Mba?ncob?;Souvenir se;;;
Tu?mlam (adj);;;;Spe?cial;;;
Dia?y?n ;;;L?n;Spectacle;;;
N?to (1/6);;;L?n;Statue;;;
Nts?m??n ;;;L?n;Stature;;;
Nga?nc?? (3/6);;;L?n;Statut;;;
K??bw? (adj);;;;Ste?rile;;;
Bu?v?? (3/6);;;L?n;Style artistique;;;
K?dfi (5/4);;;L?n;Stylo;;;
N?? j? ndà (V);;;Mba?ncob?;Succe?der;;;
Nj?ndà (1/6);;;L?n;Successeur;;;
N?? fin? (V);;;Mba?ncob?;Sucer;;;
N?? nyo (V);;;Mba?ncob?;Sucer;;;
D??mt?? (1/6);;;L?n;Sucre;;;
Nt??n  ;;;L?n;Sud ;;;
Mà nt??n ;;;L?n;Sud  au;;;
N?? b?d z??ni? (V);;;Mba?ncob?;Suer;;;
N?? kwia? z???ni (V);;;Mba?ncob?;Suer;;;
Z??ni? (4);;;L?n;Sueur;;;
N?? ku??u (V);;;Mba?ncob?;Suffir;;;
N?ku?u (V);;;Mba?ncob?;Suffisance;;;
Mbi?;;;L?n;Suicide;;;
N?? gh??d mbi? (V);;;Mba?ncob?;Suicider se;;;
N?? b??l? (V);;;Mba?ncob?;Suivre;;;
N?? bw?? (V);;;Mba?ncob?;Suivre;;;
N?? tam nja?m (V);;;Mba?ncob?;Suivre;;;
Tu?nu? (3/6);;;L?n;Sujet;;;
M?nk?? (1/6);;;L?n;Sujet;;;
Bu?? (1/6);;;L?n;Sujet;;;
Nkwan (1/6);;;L?n;Sujet;;;
M??nnd?b (1/6);;;L?n;Supe?rieur;;;
Nd?b (adj);;;;Supe?rieur;;;
N?? ba?t?? (V);;;Mba?ncob?;Supple?er;;;
L???t?? (1/6);;;L?n;Supplication;;;
N?? ma??mbu (V);;;Mba?ncob?;Supplier;;;
Ntom (1/6);;;L?n;Supplier;;;
N?? f?nt? (V);;;Mba?ncob?;Sopportet;;;
N?? tomt? (V);;;Mba?ncob?;Supporter;;;
Nu?m (pre?p);;;;Supporter;;;
N?? cob kà?n mf? (adj);;;;Su?r;;;
N?? cob nso?bv? (adj);;;;Su?r;;;
;;;;;;;
Nde?ba?? (1/6);;;L?n;Tabac;;;
N?? ghud tu?n m??n;;;;Tabac passer a?;;;
Nko?? (3/6);;;L?n;Table;;;
Teble? (5/4);;;L?n;Table;;;
Nko??juj? (3/5);;;L?n;Table a? manger;;;
Nko??ca? (3/5);;;L?n;Table a? manger;;;
Nko??fa?? (3/6);;;L?n;Table de travail;;;
?u?u (1);;;L?n;Tache;;;
Fa?? (5/4);;;L?n;Tache;;;
Nco?bncob (adj);;;;Tachete?;;;
Nco?bncob fogtab ;;;;Tachete? de blanc;;;
Nco?bncob n?s?n;;;;Tachete? de noir;;;
Nts?wud (3);;;L?n;Taille;;;
Nta?kob (1/6);;;L?n;Taille hanche;;;
N?? sit? (V);;;Mba?ncob?;Tailler;;;
N?? sit? tu (V);;;Mba?ncob?;Tailler cheveux;;;
N?? mi ntsw? (V);;;Mba?ncob?;Taire se;;;
N?? mi?i (V);;;Mba?ncob?;Taire se;;;
N?? tsw? ncu? mi?i (V);;;Mba?ncob?;Taire se;;;
Tu?nku? (3/4);;;L?n;Talon;;;
La?mmbe? (1/6);;;L?n;Tambour;;;
Ke??t?? (1/6);;;L?n;Tamis;;;
N?? ke?t?? (V);;;Mba?ncob?;Tamiser;;;
Nka?g (1/6);;;L?n;Tam-tam;;;
T? (5/4);;;L?n;Tannie?re;;;
Ya??ya?? ;;;L?n;Tapage;;;
N?? tam ya??ya?l (V);;;Mba?ncob?;Tapage faire le;;;
N?? tswe ta? (V);;;Mba?ncob?;Tarder;;;
Ne tswe yàm? (V);;;Mba?ncob?;Tarder;;;
Lo?? ;;;L?n;Tare;;;
N?? zwim? (V);;;Mba?ncob?;Tarir;;;
Ku??bàn (3);;;L?n;Taro;;;
Bà?nku?u (3);;;L?n;Taro pile?;;;
Tsw??t? (5/4);;;L?n;Tas ;;;
F?d s? (5/4);;;L?n;Tas;;;
N?? mo?mt?? (V);;;Mba?ncob?;Ta?tonner;;;
N?? n??n ba?gba?g (V);;;Mba?ncob?;Ta?tonner;;;
Nsa? (4);;;L?n;Tatouage;;;
N?? v?n nsa? (V);;;Mba?ncob?;Tatuoer;;;
Fo?dmf? (1/6);;;L?n;Taureau;;;
Fo?dna? (1/6);;;L?n;Taureau ;;;
F?? ;;;L?n;Taxe;;;
N?? la??a (V);;;Mba?ncob?;Taxer;;;
Mbà?ntu ;;;L?n;Taigne;;;
Nc?? (4);;;L?n;Teint;;;
N??lànba? (adj);;;;Teint clair;;;
N??s?n? (adj);;;;Teint noir;;;
N??s?n? nzidt? (adj);;;;Teint noir cire?;;;
N??ba? (adj);;;;Teint bronze?;;;
Nta (4);;;L?n;Te?moignage;;;
N?? mba??nkwàn (V);;;Mba?ncob?;Te?moigner;;;
N?? kwenta (V);;;Mba?ncob?;Te?moigner;;;
Mba?nkwàn(1/6);;;L?n;Te?moin;;;
Nkwe?nta (1/6);;;L?n;Te?moin;;;
Nka?tu (3/6);;;L?n;Tempe;;;
N??ta? f??mba?? ;;;L?n;Tempe?te;;;
N?? sh?m f??dmba??;;;;Tempe?ter;;;
N?? cob là tum (V);;;Mba?ncob?;Tempe?ter;;;
Ndà?m?t?? (1/6);;;L?n;Temple;;;
Ndà?nsi (1/6);;;L?n;Temple;;;
Ng??la?  (1/6);;;L?n;Temps;;;
Nj? (1/6);;;L?n;Temps;;;
Nga (3/4);;;L?n;Tendon;;;
Nga?ku? (3/4);;;L?n;Tendon d?achille;;;
Njam? (1);;;L?n;Te?ne?bre;;;
N?? c?b? (V);;;Mba?ncob?;Te?nir;;;
N?? c?b nda??nda?;;;;Tenir droit;;;
Ta?mc?d (1);;;L?n;Tennis;;;
Ta?mc?d (1);;;L?n;Tennis de table;;;
Nga?la??t?? (1/6);;;L?n;Tentateur;;;
Ntàb (1/6)  ;;;L?n;Tente;;;
Ntà?bnzw? (1/6);;;L?n;Tente;;;
N?? la??t?? (V);;;Mba?ncob?;Tenter;;;
N?? mia?gt?? (V);;;Mba?ncob?;Terminer;;;
Ngo?o (1/6);;;L?n;Termite;;;
Nj? (1/6);;;L?n;Terre;;;
Ca?a  (3/6);;;L?n;Terre;;;
Nsica?a ;;;L?n;Terre monde;;;
Bwog nd?b ;;;L?n;Terreur;;;
F??dwud ;;;L?n;Terreur ;;;
Nt??mng??;;;L?n;Territoire;;;
N?? kag f??dwud (V);;;Mba?ncob?;Terroriser;;;
Ntà?gmf? (4);;;L?n;Testament;;;
Ntàgv? (4);;;L?n;Testament ;;;
Tu (3/6);;;L?n;Te?te;;;
S?s?? (adv);;;;Te?te a? te?te;;;
N?? bu?m ncu? (V);;;Mba?ncob?;Te?te a? te?te ;;;
N?? nyo b?n (V);;;Mba?ncob?;Te?ter;;;
N?? tam bo? tu (3/6);;;L?n;Te?ter;;;
Nga?ta?tu (1/6);;;L?n;Te?tu;;;
N?? ta?tu (V);;;Mba?ncob?;Te?tu e?tre;;;
Dia?sa (5/4);;;L?n;The?a?tre;;;
Dia?zwi? (5/4);;;L?n;The?a?tre comique;;;
Dia?nyà (5/4);;;L?n;The?a?tre tragique;;;
Dia?nzw? (5/4);;;L?n;The?a?tre tragique;;;
F?nku? (3/4);;;L?n;Tibia;;;
N?yobt? (adj);;;;Tie?de;;;
Yobt?? (1);;;L?n;Tie?deur;;;
N?? yobt? (V);;;Mba?ncob?;Tie?dir;;;
Nc??? nu?m tad (adj);;;;Tiers;;;
M??nwà (pron);;;;Tiers un;;;
T?? (3);;;L?n;Tir au sort;;;
N?? ba?a (V);;;;Tisser;;;
Mba??nzw? (1/6);;;L?n;Tisserand;;;
Nzw? (1/6);;;L?n;Tissu;;;
L??n (5/4);;;L?n;Titre appelation;;;
Tu (i) (3/6);;;L?n;Titre texte;;;
N?? so?g s? (V);;;Mba?ncob?;Toilette faire la;;;
Mfi??nt?m??n (1/6);;;L?n;Toise;;;
Tu?ba? (3/6);;;L?n;Toit;;;
Fi? (5/4);;;L?n;Tombe;;;
N?? tamnsi (V);;;Mba?ncob?;Tomber;;;
N?? v?? (V);;;Mba?ncob?;Tomber;;;
N?? c?mnsi (V);;;Mba?ncob?;Tomber liquide;;;
N?? vu?nsi (V);;;Mba?ncob?;Tomber a? plat;;;
N?? fogt? (V);;;Mba?ncob?;Tomberen cascarde;;;
T?? (3);;;L?n;Tombola;;;
Ta?? (5/4);;;L?n;Tonneau;;;
Fa?mba?? (3/4);;;L?n;Tonnerre;;;
Ncua? (1/6);;;L?n;Tontine;;;
B??ba??mbwog? (3/6);;;L?n;Torche;;;
Nka?? (3/4);;;L?n;Torche;;;
Nka??v?? (3/4);;;L?n;Torche;;;
N?? ba (V);;;Mba?ncob?;Tordre;;;
N?? ?am? (V);;;Mba?ncob?;Tordre;;;
N?? ?am? (adj);;;;Tordu;;;
Ntsi?dmba?? (3/4);;;L?n;Torrent;;;
Mfà?nnu? (4);;;L?n;Tort;;;
Tsw?mà?nk?o?? (1/6);;;L?n;Tortue;;;
Ng??dni? (V);;;Mba?ncob?;Torture;;;
N?? kwag? (V);;;Mba?ncob?;Torturer;;;
Nk??nk? (1);;;L?n;Toucher;;;
Ngh?dni? (V);;;Mba?ncob?;Tour joue?;;;
N?? gh??dni? (V);;;Mba?ncob?;Tourment;;;
N?? la?bwud (V);;;Mba?ncob?;Tourmenter;;;
?u??nz?? (1/6);;;L?n;Tournant;;;
N?? ka??? (V);;;Mba?ncob?;Tourner;;;
N?? ba??kwiag (V);;;Mba?ncob?;Tousser;;;
N?? kwiag? (V);;;Mba?ncob?;Tousser;;;
Fa (adv);;;;Tout;;;
Fafa (adj);;;;Tout;;;
Nz??nz?? ;;;;Toutes sortes;;;
K??nguan (1/6);;;L?n;Tout puissant;;;
Nga?n??ta (1/6);;;L?n;Tout puissant;;;
Nsi (1/6);;;L?n;Tout puissant;;;
Kwiag (5/4);;;L?n;Toux;;;
N?? site ku?d m??n (V;;;Mba?ncob?;Trahir;;;
N?? sw??n m??n (V);;;Mba?ncob?;Trahir;;;
N?? to tu?n m??n (V);;;Mba?ncob?;Trahir;;;
N?? zw? nca?m m??n;;;;Trahir;;;
N??sw??n m??n ;;;;Trahison;;;
N?? zw?nca?mm??n;;;;Trahison;;;
nganzw?ncà?n (V);;;Mba?ncob?;Trai?tre;;;
Nsw??nng?? (1/6);;;L?n;Trai?tre;;;
Na?;;;L?n;Trai?trisse;;;
C?ag (adj);;;;Tranchant;;;
Nsam (1/6);;;L?n;Tranche?e;;;
N?? k?b? (V);;;Mba?ncob?;Trancher;;;
N?? fa?n nc??? (V);;;Mba?ncob?;Transgresser;;;
K??bw?? (1/6);;;L?n;Transgression;;;
N??y?nt? (adj);;;;Transparent;;;
N?? to ntog? (V);;;Mba?ncob?;Transpercer;;;
N?? tam ntog? (V);;;Mba?ncob?;Transpercer;;;
Ywi?? (5/4);;;L?n;Trappe;;;
Fa?? (5/4);;;L?n;Travail;;;
Nc???nà? (3/6);;;L?n;Travail en e?quipe;;;
Njo?gmàsi;;;L?n;Travail force?;;;
Fa??mbu;;;L?n;Trvail manuel;;;
N?? fa??a (V);;;Mba?ncob?;Travailler;;;
Nga?fa?? (1/6);;;L?n;Travailleur;;;
Fa??ndà (5/4);;;L?n;Traveaux domestique;;;
N?? du?l? (V);;;Mba?ncob?;Traverser;;;
N?? ya?a (V);;;Mba?ncob?;Traverser;;;
N?? fa?t? (V);;;Mba?ncob?;Tre?bucher;;;
Tsha?nenyi?i;;;L?n;Trenblement de terre;;;
N?? v?dt?? (V);;;Mba?ncob?;Trembler;;;
N?? nyu??nts? (V);;;Mba?ncob?;Tremper;;;
N?? yw??l? (V);;;Mba?ncob?;Tremper;;;
N?shu? (adv);;;;Tre?s;;;
Fu?? (5);;;L?n;Tre?sor;;;
Ju?nkàb (3/6);;;L?n;Tre?sor;;;
Nd??tu (1/6)  ;;;L?n;Tre?sor ;;;
Nd??tu (1/6);;;L?n;Tresse;;;
N?? ba?a (V);;;Mba?ncob?;Tresser;;;
N?? zwim? (V);;;Mba?ncob?;Tresser ;;;
N?? ba?tu (V);;;Mba?ncob?;Tresse te?te;;;
Nzwi?d (1/6);;;L?n;Tribu;;;
Tu?nndà (3/6);;;L?n;Tribu;;;
Ng?? (1/6);;;L?n;Tribulation;;;
Ndà?nca? (1/6);;;L?n;Tribunal;;;
Ncu?b (1/6);;;L?n;Tribut;;;
N?? tswidt? (V);;;Mba?ncob?;Trier;;;
N?? nywin? (V);;;Mba?ncob?;Triste e?tre;;;
Nywin (1);;;L?n;Tristesse;;;
Zw? (1);;;L?n;Tristesse ;;;
Zw??nt? (1);;;L?n;Tristesse;;;
Dia??f??n (5/4);;;L?n;Tro?ne;;;
Dia??kwa (5/4);;;L?n;Tro?ne;;;
Ko??f??n (5/4);;;L?n;Tro?ne;;;
Tad (adj);;;;Trois;;;
Mbadt?? tad (adj);;;;Troisie?me;;;
Nta? (1/6);;;L?n;Trompe?te;;;
N?? f??m??n (V);;;Mba?ncob?;Tromper;;;
N?? tadt? (V);;;Mba?ncob?;Tromper;;;
F???t?? (1);;;L?n;Tromperie;;;
Nko??t? (3/6);;;L?n;Trompette;;;
Mà?ntu? (1/6);;;L?n;Tronc d?arbre;;;
N?? cuadt? (V);;;Mba?ncob?;Trophe?e;;;
T? (5/4);;;L?n;Trou;;;
Cu?tu ;;;L?n;Trouble;;;
N?? cu??tu (V);;;Mba?ncob?;Troubler;;;
Nga?cu??tu (1/6);;;L?n;Troubleur;;;
N?? tsw???t? (V);;;Mba?ncob?;Trouer;;;
Mf???k?l? (1/6);;;L?n;Trousse d?ecolier;;;
F?n (5);;;L?n;Trouvaille;;;
Ju?nf?n (3/6);;;L?n;Trouvaille en;;;
N?? fo?n? (V);;;Mba?ncob?;Trouver;;;
W?? (pron);;;;Tu;;;
N?? zwi (V);;;Mba?ncob?;Tuer ;;;
Nga?zwi (1/);;;L?n;Tueur;;;
Ncu??t?? ;;;L?n;Tumulte;;;
Nzw? (1/6);;;L?n;Tunique;;;
Nga?t?ntom (1/6);;;L?n;Tuteur;;;
Ngacagte (1/6);;;L?n;Tuteur;;;
Ntom (1/6);;;L?n;Tuteur;;;
Ng?? t??ng??;;;L?n;tyranie;;;
;;;;;;;
K?ko?o (5/6);;;L?n;Ulce?re;;;
 Mfa?? (1/6);;;L?n;Ulce?re;;;
Nd??ja?m;;;L?n;Ulterieur;;;
Nc???nc?? (adv);;;;Un a? un;;;
Nc?? (adj);;;;"Un; une";;;
Ta?? (adj);;;;"Un; une";;;
Ju?nc?? (adj);;;;Uniforme;;;
Nzw??fa? ;;;;Uniforme tenue;;;
Nta?mt?? ;;;L?n;Union;;;
N?? ta?mt? (V);;;Mba?ncob?;Unir;;;
Nc?? (adj);;;;Unitaire;;;
Ka?mmfi?? (1/6);;;L?n;Unite?;;;
Ma??;;;L?n;Unite?;;;
Ncu?nc?? (1/6);;;L?n;Unite?;;;
Nj?;;;L?n;Univers;;;
Nsica?a;;;L?n;Univers;;;
Nj?fa (adj);;;;Universel;;;
?wa?ni?nsà?k?l? (1/6);;;L?n;Universite?;;;
Nu?nkund?e (3/6);;;L?n;Urgence;;;
Nku?ndenku?nd? (adv);;;;Urgence de toute;;;
Ndànu?bàhà (3/6);;;L?n;Urgence salle des;;;
Nku?nd?;;;L?n;Urgent;;;
N??tsin (4);;;L?n;Urine;;;
N?? tsi?nt?? (V);;;Mba?ncob?;Uriner;;;
D???n??tsi?n (3/6);;;L?n;Urinoir ;;;
Ka?n??tsi?n (3/4);;;L?n;Urinoir  ;;;
;;;;;;;
Nyàmna? (1/6);;;L?n;Vache;;;
Mf? (1/6);;;L?n;Vache boeuf;;;
Ka?dt? (1/6);;;L?n;Vagabond;;;
Nca?kànncu? (1/6);;;L?n;Vagabond;;;
Nca?k??ndà (1/6);;;L?n;Vagabond;;;
Kad (1);;;L?n;Vagabondage;;;
Ca? (1);;;L?n;Vagabondage;;;
N?? kal? (V);;;Mba?ncob?;Vagabonder;;;
N?? ca? (V);;;Mba?ncob?;Vagabonder;;;
Tu?nts? ;;;L?n;Vague;;;
?wat?? (1);;;L?n;Vaillance;;;
N?? ?wat? (adj);;;;Vaillant;;;
N?? c?a? nco? (V);;;Mba?ncob?;Vaincre guerre;;;
N?? nc?a? (V);;;Mba?ncob?;Vaincre re?ussir;;;
V??nco? (1/6);;;L?n;Vaincu guerre;;;
Nc??nco? (1/6);;;L?n;Vainqueur;;;
Njo?? (1);;;L?n;Valeur;;;
Konnzw? (5/4);;;L?n;Valise;;;
T??mbo? (5/4);;;L?n;Vale?e;;;
L??k??t?? ;;;L?n;Vale?e;;;
N?? be njo??;;;Mba?ncob?;Valoir;;;
Yw?l? (6);;;L?n;Vapeur;;;
Sitima?? (1/6);;;L?n;Vapeur bateau;;;
Nt?? (3/6);;;L?n;Vassal;;;
M??nmf? (3/6);;;L?n;Veau;;;
F??nt??le?nj? (5/4);;;L?n;Veille;;;
Mu?;;;L?n;Veille?e;;;
N?? mu? (V);;;Mba?ncob?;Veiller;;;
N?? zi mu? (V);;;Mba?ncob?;Veiller;;;
N?? zi c?a?lo (V);;;Mba?ncob?;Veiller;;;
Nga?l?m (3/6);;;L?n;Veine;;;
Ba (5/4);;;L?n;Ve?lo;;;
Ba?nku? ;;;L?n;Ve?lo ;;;
Nga?sw??n (1/6);;;L?n;Vendeur;;;
N?? s??n? (V);;;Mba?ncob?;Vendre;;;
Mba?a (1/6);;;L?n;Vengeance;;;
Ko?? (adj);;;;Ve?ritable;;;
Nen?n?  (1/6);;;L?n;Ve?rite?;;;
N?? yàgt? mba?a (V);;;Mba?ncob?;Venger;;;
N?? s??? (V);;;Mba?ncob?;Venir;;;
F??dmba?? (1/6);;;L?n;Vent;;;
N??sw??n? ;;;L?n;Vente;;;
Ndà?ndu?? (1/6);;;L?n;Vente a? emporter;;;
N??s???? (1/6);;;L?n;Venue;;;
Mànyao?? (1/6);;;L?n;Ver;;;
Tàn (3/6);;;L?n;Ver;;;
Mb??? (1/6);;;L?n;Ver de terre;;;
Tà?nnk?à (3/6);;;L?n;Ver de raphia;;;
Mba?ncobe (4);;;L?n;Verbe ;;;
K??bnca (1/6);;;L?n;Verdict;;;
Shua?a (5/4);;;L?n;Verge;;;
Ko?? (adj);;;;Ve?ritable;;;
N?n?ne (1/6);;;L?n;Ve?rite?;;;
Y?nt?? (1/6);;;L?n;Verre vitre;;;
Ntu? (1/6);;;L?n;Verre a? boire;;;
N?? f??dt?? (V);;;Mba?ncob?;Verser;;;
N?? na?? (V);;;Mba?ncob?;Verser;;;
N?? n??? (V);;;Mba?ncob?;Verser;;;
N?? cw??l? (V);;;Mba?ncob?;Verser;;;
Nka (1/4);;;L?n;Verset;;;
Ko??ko? (adj);;;;Vertical;;;
Sw??sw?? (adj);;;;Vertical;;;
N?? k??dnzw? (V);;;Mba?ncob?;Ve?tir;;;
N?? ma??zw? (V);;;Mba?ncob?;Ve?tir;;;
Mefogmàdu?m (1/6);;;L?n;Veuf;;;
Fog? n? tsw? (5/4);;;L?n;Veuvage;;;
M?fogm??nnzwi (1/6);;;L?n;Veuve;;;
Mbàb (1);;;L?n;Viande;;;
Mbàb fi (1);;;L?n;Viande fraiche;;;
Bi?mbàb (?1);;;L?n;Viande pourrie;;;
Ya?gmbà?b (1);;;L?n;Viande se?che?e;;;
Ng? (adj) ;;;;Vide ;;;
Gh?la?? (adj);;;;Vide;;;
Mbu? nda? (adv);;;;Vide;;;
Nj??s?;;;L?n;Vide entre 2 dents;;;
Fogtu (1/6);;;L?n;Vieillard;;;
Njw??nm??n (1/6);;;L?n;Vieillard;;;
Telo?e (1/6);;;L?n;Vieillard;;;
Ts?ncu? (1/6);;;L?n;Vieillard;;;
Yw??n (V);;;Mba?ncob?;Vieillesse;;;
N?? yw??n? (V);;;Mba?ncob?;Vieillir;;;
Njw??nm??n (1/6);;;L?n;Vieux;;;
Nk?à (3/6);;;L?n;Vigne;;;
N?? dia?? nk?à (V);;;Mba?ncob?;Vigner;;;
Ndia??nk?à (1/6);;;L?n;Vigneron;;;
La? (5/4);;;L?n;Village;;;
Ng?? (3/6);;;L?n;Village ;;;
T?s? (5/4);;;L?n;Ville;;;
Nd??;;;L?n;Violence;;;
Nta?nt?;;;L?n;Violence;;;
Mfa?mfa;;;L?n;Violence;;;
Ndu?? (4);;;L?n;Vin;;;
Ndu??nk?à (4);;;L?n;Vin de raphia;;;
Mbe?dnk?à ;;;L?n;Vin de raphia sucre?;;;
Nj?àk?à;;;L?n;Vin de raphia sucre?;;;
C??n (5);;;L?n;Vinaigre;;;
C?aggk?dndu?? (4);;;L?n;Vinaigre;;;
Nga?bu?lo?? (1/6);;;L?n;Violoniste;;;
Zwià?g?;;;L?n;Virgule;;;
Mibl?m (1/6);;;L?n;Vitamine;;;
Nd??nd?;;;L?n;Vite;;;
Nde;;;L?n;Vitesse;;;
Nd??nd?;;;L?n;Vitesse;;;
Nt??n (adj);;;;Vivant;;;
N?? be nt??n (V);;;Mba?ncob?;Vivant e?tre;;;
N?? tsw? (V);;;Mba?ncob?;Vivre;;;
N?? tsw? nt??n (V);;;Mba?ncob?;Vivre;;;
N?? yo?g? (V);;;Mba?ncob?;Vivre;;;
Ju?j? (3);;;L?n;Vivres;;;
Mà?nz?? (1/6);;;L?n;Voie;;;
Nz?? ((1/6);;;L?n;Voie;;;
Fi?m (1/6);;;L?n;Viole;;;
Nkua (1/6);;;L?n;Viole;;;
N?? fim? (V);;;Mba?ncob?;Violer ;;;
N?? ma??-nkua (V);;;Mba?ncob?;Violer;;;
N?? y?n? (V);;;Mba?ncob?;Voir;;;
N?? y??n nta?dntad (V);;;Mba?ncob?;Voir flou;;;
M??nmba?ndà (1/6);;;L?n;Voisin;;;
M??nnd??la? (1/6);;;L?n;Voisin;;;
Mà?tuà (1/6);;;L?n;Voiture;;;
Ya?ba?? (3/6);;;L?n;Voiture;;;
Ya?ba??nco? (3/6);;;L?n;Voiture militaire;;;
Nz??m??n (1/6);;;L?n;Voix;;;
N??f?l? (1);;;L?n;Vol;;;
C? (5/4);;;L?n;Vol oiseau;;;
