Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
N?? l??t? (V);;;Mba?ncob?;Me?fier (se);;;
N?? z?t? (V);;;Mba?ncob?;Me?fier (se);;;
Bw?t? (1);;;L?n;Me?lange;;;
Bw?ntam (1);;;L?n;Me?lange;;;
Tà?bw?? (V);;;Mba?ncob?;Me?lange;;;
N?? bw?? (V);;;Mba?ncob?;Me?ler;;;
N?? bw????t?? (V);;;Mba?ncob?;Menacer;;;
N?? cobt? (V);;;Mba?ncob?;Menacer (parole);;;
Ma??mbu (1/6) ;;;L?n;Mendiant ;;;
Nga?lonndone (1/6);;;L?n;Mendiant;;;
Nc??ju (1/6);;;L?n;Mendiant;;;
N??ma??mbu (1);;;L?n;Mendicite?;;;
C??ju (1);;;L?n;Mendicite?;;;
N ?? ma??mbu (V);;;Mba?ncob?;Mendier;;;
Tadt?? (V);;;Mba?ncob?;Mensonge;;;
N?? tadt? (V);;;Mba?ncob?;Mensonge (dire);;;
N?? cob tadt?? (V);;;Mba?ncob?;Mensonge (dire);;;
Ngata?dt? (1/6);;;L?n;Menteur;;;
N?? Tadt? (V);;;Mba?ncob?;Mentir;;;
Tu?nncu? (3/6);;;L?n;Menton;;;
Wag (1);;;L?n;Me?pris;;;
N??  wag? (V);;;Mba?ncob?;Me?priser;;;
Dibànts? (1/6);;;L?n;Mer;;;
T??dnt? (adv);;;;Mer (milieu, large);;;
Mà (3/6);;;L?n;Me?re;;;
Màkwi? (1/6);;;L?n;Me?re de l?epouse;;;
Mànts? (1/6);;;L?n;Me?re del?epouse;;;
Mà?ntu?kam (1/6);;;L?n;Me?re du 1er fills du roi;;;
Mà?bo??kam (1/6);;;L?n;Me?re du 2e fils du roi;;;
Mà?mdu (1/6);;;L?n;Me?re du mari;;;
Mà?f??n (1/6);;;L?n;Me?re du roi;;;
Nk??n (3/6);;;L?n;Message;;;
Nga?ntum (1/6);;;L?n;Messager;;;
Nga?tswi?nk??n (1/6);;;L?n;Messager;;;
